# A parancsazonosito oszlop 2026-09-01-en VISSZAKERULT (#1581).
# A ket korabbi gepi kinyeres azert bukott meg, mert a fordito a menurekord
# +0x04..+0x10 mezoit a KOVETKEZO rekord feliratanak betoltese UTAN irja ki:
# a push "<kulcs>" es a ra kovetkezo mov word ptr [...+0x0a] NEM tartozik ossze.
# A javitott horgony a rekord KEZDOCIME: mov dword ptr [REK], eax (#1409).
# KONTROLL: 13 fuggetlenul ismert azonositobol 13 egyezik, 0 ter el.
# URES cella ket okbol lehet:
#   (a) a bajtminta nem rajzolodott ki hianytalanul -> nem talalgatunk;
#   (b) a felirat-kulcsot TOBB parancs is hasznalja. A kulcs a FELIRATOT
#       nevezi meg, nem a parancsot: eMenuView::ID_VIEW_BW harom kulonbozo
#       menuben harom kulonbozo azonositoval szerepel.
# Kinyero: scripts/binaris/menu_parancsazonositok.py
# Reszletek: picasa-menu-leltar.md 7. szakasz.
menu,parancs,felirat_en,felirat_hu,parancsazonosito
eMenuLabelFolder,ID_ALBUM_EDITCAPTIONS,&Edit Description...,&Leírás szerkesztése...,0x9c69
eMenuLabelFolder,ID_ALBUM_SLIDESHOW,&View Slideshow,&Diavetítés megtekintése,0x9c6d
eMenuLabelFolder,ID_DATESORT,&Date,&Dátum,0x9cd4
eMenuLabelFolder,ID_FILE_EXPORTASWEBPAGE,E&xport as HTML Page...,E&xportálás HTML-oldalként...,0x9c95
eMenuLabelFolder,ID_FILE_PRINTCONTACTSHEET,&Print Contact Sheet...,&Indexképek nyomtatása...,0x9c94
eMenuLabelFolder,ID_MANAGE_ALBUM,&Remove from Picasa...,&Eltávolítás a Picasából...,0x9cce
eMenuLabelFolder,ID_MOVEFOLDER,&Move...,Át&helyezés...,0x9df4
eMenuLabelFolder,ID_NAMESORT,&Name,&Név,0x9cd3
eMenuLabelFolder,ID_REFRESH_THUMB,Refresh &Thumbnails,&Indexképek frissítése,
eMenuLabelFolder,ID_REVERSESORT,&Reverse order,&Fordított sorrend,0xa0d0
eMenuLabelFolder,ID_SIZESORT,&Size,&Méret,0x9cd5
eMenuLabelFolder,SortBy,&Sort By,&Rendezés,
eMenuPicture,BatchEdit,&Batch Edit,&Csoportos szerkesztés,
eMenuPicture,ID_PICTURE_AUTO_COLOR,&Auto Color,&Automatikus szín,0x9d48
eMenuPicture,ID_PICTURE_AUTO_LIGHTING,A&uto Contrast,A&utomatikus kontraszt,
eMenuPicture,ID_PICTURE_AUTO_REDEYE,Auto Red Eye Correction,Automatikus vörösszem-eltávolítás,0x9df1
eMenuPicture,ID_PICTURE_ENHANCE,I'm Feeling &Lucky,&Jó napom van,0x9d5e
eMenuPicture,ID_PICTURE_FILM_GRAIN,&Film Grain,Films&zemcse,0x9d4e
eMenuPicture,ID_PICTURE_HIDE,&Hide,&Elrejtés,0x9ca4
eMenuPicture,ID_PICTURE_HIDE,&Hide,&Elrejtés,0x9ca4
eMenuPicture,ID_PICTURE_HIDE_TEXT,Hide Text,Szöveg elrejtése,0x9dec
eMenuPicture,ID_PICTURE_RESET_FACES,Reset &Faces,Ar&cok alaphelyzetbe állítása,0x9e11
eMenuPicture,ID_PICTURE_REVERT,Undo &All Edits,Összes szerkesztés vissz&avonása,0x9d2d
eMenuPicture,ID_PICTURE_ROTATECLOCKWISE,R&otate Clockwise,F&orgatás jobbra,
eMenuPicture,ID_PICTURE_ROTATECOUNTERCLOCKWISE,Rotate &Counterclockwise,Forgatás &balra,
eMenuPicture,ID_PICTURE_SHARPEN,S&harpen,É&lesítés,0x9d4b
eMenuPicture,ID_PICTURE_SHOW_TEXT,Show Text,Szöveg megjelenítése,0x9deb
eMenuPicture,ID_PICTURE_UNHIDE,&Unhide,&Megjelenítés,
eMenuPicture,ID_PICTURE_UNHIDE,&Unhide,&Megjelenítés,
eMenuPicture,ID_PICTURE_VIEW,&View and Edit,&Megjelenítés és szerkesztés,0x9ca0
eMenuPicture,ID_PICTURE_WARMIFY,&Warmify,&Melegítés,0x9d4d
eMenuPictureWin,ID_PICTURE_PROPERTIES,Propert&ies,T&ulajdonságok,0x9ca8
eMenuTools,Experimental,Experimental,Kísérleti,
eMenuTools,Geotag,&Geotag,&Geocímke,
eMenuTools,ID_DELETE_EMPTY_ALBUMS,Delete empty online albums...,Üres online albumok törlése...,0x9e00
eMenuTools,ID_DUPES,Show Duplicate Files,Fájlok másodpéldányainak megjelenítése,0x9d57
eMenuTools,ID_EXPORT_EARTH,Export to Google Earth File,Exportálás Google Earth-fájlba,0x9db0
eMenuTools,ID_FTPWEB,Publish via FTP...,Közzététel FTP-n keresztül...,0x9d54
eMenuTools,ID_MOVE_DATABASE,Choose database location...,Adatbázis helyének kiválasztása...,0x9e20
eMenuTools,ID_PASSPORT,&Passport photo...,Útle&vélkép...,0x9def
eMenuTools,ID_PICTURE_GEOTAG,Geotag With Google Earth...,Geocímkézés a Google Earth programmal...,0x9db4
eMenuTools,ID_PICTURE_GEOUNTAG,Clear Geotags,Geocímkék törlése,0x9db5
eMenuTools,ID_SAVESEARCH,Save &search results...,Keresési eredmények &mentése...,0x9d52
eMenuTools,ID_SEARCHTOKEN,Show &tag as album...,&Címke megjelenítése albumként...,0x9de3
eMenuTools,ID_S_BLUE,&Blue,&Kék,0x9da4
eMenuTools,ID_S_GREEN,&Green,&Zöld,0x9da7
eMenuTools,ID_S_ORANGE,&Orange,&Narancssárga,0x9da5
eMenuTools,ID_S_PURPLE,&Purple,&Lila,0x9da8
eMenuTools,ID_S_RED,&Red,&Piros,0x9db1
